Columns,InstanceNumber,Rows,SequenceName,SeriesNumber,SliceLocation,path
512,30,416,*fl3d2,51,-834.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-30-x7zce5.dcm
512,31,416,*fl3d2,51,-829.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-31-x7zce6.dcm
512,32,416,*fl3d2,51,-824.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-32-x7zce7.dcm
512,33,416,*fl3d2,51,-819.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-33-x7zcet.dcm
512,34,416,*fl3d2,51,-814.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-34-x7zceu.dcm
512,35,416,*fl3d2,51,-809.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-35-x7zcev.dcm
512,36,416,*fl3d2,51,-804.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-36-x7zcew.dcm
512,37,416,*fl3d2,51,-799.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-37-x7zcex.dcm
512,38,416,*fl3d2,51,-794.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-38-x7zcey.dcm
512,39,416,*fl3d2,51,-789.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-39-x7zcez.dcm
512,40,416,*fl3d2,51,-784.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-40-x7zcf0.dcm
512,41,416,*fl3d2,51,-779.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-41-x7zcf1.dcm
512,42,416,*fl3d2,51,-774.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-42-x7zcf2.dcm
512,43,416,*fl3d2,51,-769.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-43-x7zcfo.dcm
512,44,416,*fl3d2,51,-764.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-44-x7zcfp.dcm
